question_id,image_id,llama_answer
1708495,170849,Light clothing
1803295,180329,Uber
5341945,534194,Tsunami
195795,19579,500
2769645,276964,Overflow
5407405,540740,Skate park
243965,24396,Triumph
5132835,513283,Salt and pepper
2993555,299355,Steaming
3848225,384822,Spatula
5683585,568358,Fry
357265,35726,Seine
2293835,229383,Legal
2542775,254277,Florist
3404725,340472,Anchor
1008115,100811,Seagull
3591265,359126,Microphone
3064155,306415,Suits
584726,58472,Tempered
584725,58472,Pedestal
4258485,425848,Meat
586905,58690,Classical
1547215,154721,Charles platt
1690895,169089,Neoprene
3884225,388422,Rugby
3832295,383229,Horse racing
4246685,424668,Plumber
3817095,381709,Beach
2086495,208649,Rye
3955315,395531,Buddhism
1726865,172686,Fruit
4087365,408736,Siamese
2816015,281601,Beijing
5267215,526721,Herbivore
134905,13490,Jelly
1474155,147415,Dark
307195,30719,Ski
4086215,408621,Gas
2142445,214244,Ski poles
5490485,549048,Bikes
2947765,294776,Frisbee
2966345,296634,Cook
2122885,212288,Repair
2705545,270554,Garden
4974395,497439,Vitamin c
5814515,581451,Peas
2368845,236884,Obama
2261615,226161,Brick
310165,31016,Wallpaper
4720345,472034,Well
5817025,581702,Robin
848895,84889,Alcohol
1932615,193261,Yes
4923495,492349,North america
3130935,313093,License
675325,67532,Chihuahua
1390725,139072,Second
1115485,111548,Canine
1731385,173138,Moon
1915856,191585,Crosswalk
1915855,191585,Suitcases
3670825,367082,Very big
1452955,145295,Skateboard
2406055,240605,30 kg
2727385,272738,Young
1378035,137803,Clydesdale
1095325,109532,Natural
4516835,451683,Olives
4509935,450993,Suits
5431125,543112,Metal
5445745,544574,Wind
2926175,292617,Sun
4831795,483179,Hanger
1996815,199681,Microwave
3114655,311465,Tennis
3123415,312341,50 mph
480675,48067,Wind turbines
4642635,464263,Mouse
5007175,500717,1804
4591645,459164,Hp
4357425,435742,Freight
5747855,574785,Propeller
3896845,389684,Caution
5143765,514376,Seattle
799555,79955,On ramp
3798425,379842,Mario
433455,43345,Sight
5793375,579337,Racket
5051325,505132,Bamboo
1843215,184321,Train station
4606215,460621,Rust
4670225,467022,Energy
3023885,302388,Goofy
3453855,345385,Cotton
1897825,189782,Fern
358945,35894,Legal
589105,58910,Lego
4347635,434763,500
5692515,569251,Guitar
216395,21639,Birthday
3588835,358883,Window
2678375,267837,Tom sims
4358075,435807,1985
5041015,504101,Africa
5592705,559270,Vintage
4123495,412349,Jk rowling
1918465,191846,Bicycle
995815,99581,Samsung
89815,8981,Rough
5071715,507171,Wood
4648575,464857,Martini
539655,53965,Nothing
3359815,335981,Turkish
4133205,413320,Swan
4750535,475053,Windsor
4175885,417588,Coin
1099075,109907,Tropical
1184065,118406,Kicked ball
1552915,155291,42
3898695,389869,Seagull
3707015,370701,Chihuahua
1240185,124018,Church
4281785,428178,Equus
3328525,332852,Visor
5462195,546219,Stone
5020015,502001,Leopard
802195,80219,Drying
71085,7108,Elephant
1631185,163118,Basketball
5018985,501898,Eastern
4854065,485406,Dollar
5287315,528731,Fireman
3975875,397587,Denim
570865,57086,1846
1644975,164497,Africa
2972695,297269,Cook
3050505,305050,Cowboy
3921745,392174,Silver
3859185,385918,1968
1398715,139871,Fighter jet
1083155,108315,Dalmatian
4576835,457683,Suzuki
1678185,167818,Shadow
2966845,296684,Wetsuit
2184045,218404,Sun
4313065,431306,Fluorescent
3836215,383621,Car
3718905,371890,Kickstand
4483205,448320,Pedestal
1379505,137950,1945
3587635,358763,Windows
4347465,434746,Ollie
2866715,286671,Bus
3157445,315744,Garden
560915,56091,Baseline
5070815,507081,Kitchen
5298505,529850,Travel
1828405,182840,Cell phone
190365,19036,Cooking
5283115,528311,Office
995925,99592,Flying kite
2302265,230226,Base
2023435,202343,Gps
1428155,142815,Film
4943455,494345,Thomas crapper
2710255,271025,21st
4191585,419158,Flip phone
784265,78426,Tiger
4468125,446812,20
5464635,546463,Westinghouse
4750435,475043,Wifi
1629525,162952,Floral
1171705,117170,Pizza
4843315,484331,2 years
485555,48555,Thoroughbred
1406515,140651,200 lbs
3837775,383777,Bicycle
4219025,421902,Alaska
5374275,537427,Snoopy
4244325,424432,Husky
1903135,190313,Coat
3221065,322106,Open
5211425,521142,60
1330345,133034,Casio
3766255,376625,Doughnut
4601455,460145,Cumulus
3334345,333434,Swim
4193715,419371,Tree
1925355,192535,Biplane
4948555,494855,Yankees
5355195,535519,1885
5673835,567383,Pelicans
4907395,490739,Priest
3156105,315610,Ferris wheel
4422235,442223,Religion
1706305,170630,Wash clothes
2564705,256470,Walking
3866375,386637,Bulldog
5352535,535253,Grocery store
550025,55002,Stainless steel
1656755,165675,Christmas
5396045,539604,Ocean
4937995,493799,Potatoes
2934525,293452,Australia
3798005,379800,Brakes
2245675,224567,No leaves on trees
3530015,353001,Pink
4642965,464296,Christmas
4672505,467250,Wine taster
5693145,569314,American
2281225,228122,Stop
1888625,188862,4th
703535,70353,No
2887995,288799,Railroad
153865,15386,Fake
425,42,Shoe rack
5186155,518615,South
1648485,164848,Race
511745,51174,Aluminum foil
2111925,211192,Bedroom
4515595,451559,Pedal
3329405,332940,Cardboard
3123855,312385,Shark
1069125,106912,Driveway
800225,80022,Net
2857425,285742,1950
4712265,471226,Garden
1174325,117432,Lake
1174415,117441,Surgical
4943285,494328,Cat food
4658355,465835,Zebra
1169515,116951,1900
4573945,457394,Boiled
3486315,348631,Wave
265075,26507,Small
4951465,495146,Arriva
3281115,328111,Skyscraper
4207755,420775,Ski pole
115525,11552,Run
2575575,257557,Warehouse
4488105,448810,Street
3017995,301799,Chopsticks
3732665,373266,Hospital
3883745,388374,Hawaii
1350765,135076,Bluebird
4409375,440937,Call
1638525,163852,Olive
4893465,489346,Pickett
5541425,554142,None
246105,24610,Student
1967155,196715,Lifeguard
3008145,300814,Jousting
806665,80666,Pet store
3835135,383513,Cumulus
3257205,325720,6
4630375,463037,Nose
2025625,202562,Traveling
1745035,174503,To hold glasses in place
1129155,112915,Living room
991195,99119,Birthday
698845,69884,Miniature
4010035,401003,Airplane
736345,73634,Wright brother
3441005,344100,Brewed
4749345,474934,Sand
3419335,341933,Onion
5593885,559388,Companionship
980485,98048,Sailing
917515,91751,Goal
3502305,350230,1 gallon
752835,75283,Dalmatian
3972785,397278,Caution
1631555,163155,100 million
4986105,498610,Camouflage
4242705,424270,Female
169585,16958,Thomas jefferson
289985,28998,Hungry
4350695,435069,Bandana
4637815,463781,Air canada
3982365,398236,Fries
2774405,277440,Work
5815575,581557,Wetsuit
5764615,576461,Highway
4359575,435957,Teddy bear
3187015,318701,Chair
1256735,125673,Honey
2986335,298633,Playing tennis
1812965,181296,Safety
3524785,352478,Broccoli
3965435,396543,Boston
2513795,251379,Parking meter
1653365,165336,Neck
1964625,196462,Wheat
4178045,417804,Computers
2414535,241453,20th
2182245,218224,1967
2706725,270672,Fair
3122785,312278,Travel store
4634065,463406,Toyota
5135555,513555,Sailing
1559125,155912,Kite
1362505,136250,Striped
1499095,149909,Eating
5130985,513098,Line
2994095,299409,Road work
3434245,343424,Cactus
4499815,449981,Dirt
1128185,112818,200
1610475,161047,Tea
4226225,422622,Cold
3118465,311846,Fondant
4242085,424208,Sony
2444875,244487,Ana
2517415,251741,Brown
4497085,449708,Work
1340015,134001,Music
1153005,115300,Danger
1995165,199516,India
5651985,565198,Boy
4987585,498758,Bmw
5643175,564317,English
4490735,449073,Navel
1525435,152543,Beach
5521885,552188,Catching
4088185,408818,Poinsettia
4161845,416184,Washing hands
381185,38118,Ski poles
1927015,192701,Ducati
4410835,441083,Lab
844985,84498,He is walking
2295295,229529,80 feet
3186715,318671,Budweiser
3186716,318671,Clydesdale
5267065,526706,Moo
264135,26413,Hit ball
2302205,230220,Feed
2808105,280810,Pie crust
3898435,389843,Wood
2799405,279940,Grind
2546095,254609,50 lbs
5610885,561088,Selfie
5440945,544094,Porch
5543575,554357,Wilson
4638655,463865,Tabby
5393265,539326,Calf
766195,76619,Cartoon
581745,58174,50
351605,35160,Palm
1778385,177838,Shape
524705,52470,Fair
5101385,510138,Music
1611125,161112,Glove
5187215,518721,18 inches
5330325,533032,Mountie
333455,33345,Chair
3968215,396821,California
3287805,328780,Black
5304665,530466,Banksy
1828345,182834,Handrail
113645,11364,Yosemite
3874295,387429,Bow
3312425,331242,Candy
2100995,210099,Wicker
3036115,303611,Mozzarella
635655,63565,Florida
5700395,570039,Food
300495,30049,1922
5046705,504670,Lg
2935745,293574,Wine
5253715,525371,Airplane
3030065,303006,Music
3981385,398138,Park
468895,46889,Baby
3709805,370980,Frog
5113635,511363,Scissors
1607615,160761,To see
516055,51605,Alex rodriguez
4306525,430652,Polo
1209775,120977,Gothic
4288125,428812,15 minutes
508295,50829,Mozzarella
13745,1374,1804
3086775,308677,Motocross
2934255,293425,Economics
2056475,205647,Package
1030175,103017,Grandfather
4357835,435783,Giraffe
1345425,134542,Candy bar
1326835,132683,Thomas
2158125,215812,Urination
894595,89459,Sticker
5758225,575822,Toy store
2213035,221303,Tv
1736935,173693,Kentucky derby
2805365,280536,Tupperware
2560915,256091,Z
206085,20608,Clothing
2029265,202926,Seagulls
1960855,196085,Hand
3004085,300408,Wetsuit
5813945,581394,On top
444675,44467,Child
5742565,574256,Hawk
1760075,176007,Chargers
4632835,463283,Orange juice
3418385,341838,Celebration
245605,24560,Space
4983815,498381,Seed
5416645,541664,Star wars
2341695,234169,10
1962445,196244,20 years
5163415,516341,Decoration
3285,328,Military
561585,56158,Toxoplasmosis
2434425,243442,Ice cream
995435,99543,Leash
3946595,394659,Stove
2264965,226496,Paper
4531665,453166,Medal
1675445,167544,Flying
5493005,549300,Carriage
999965,99996,Fetch
3494865,349486,Elephant
94505,9450,Home
5474935,547493,Plate
5314955,531495,Dock
3855865,385586,Boat
4437845,443784,Wilson
4340895,434089,Ram
3058005,305800,Birthday
1121105,112110,Dark
1063305,106330,Store
4029315,402931,Snowboarding
1006245,100624,Cell phone
1082445,108244,Pirate
5087315,508731,Babar
166065,16606,Computer
603635,60363,Tell time
3160075,316007,Snowboarder
860015,86001,Nothing
3680805,368080,Seattle
4196245,419624,100 mph
3239255,323925,Broccoli
3719455,371945,1804
3078475,307847,Stop
2968865,296886,Jockey
1652255,165225,School
4952885,495288,Plaid
2934745,293474,Fireman
2651255,265125,England
380315,38031,License
4227295,422729,Barn
5782035,578203,Fruit
1267015,126701,Willow
586475,58647,Shark
4767705,476770,Blue team
3548295,354829,He didn't
5692895,569289,Eggs
229695,22969,Giraffe
4007195,400719,Benjamin franklin
2454815,245481,Sign
4930225,493022,Surfing
1168455,116845,High
6615,661,Ketchup
3652775,365277,Very expensive
3678915,367891,Apple
5153035,515303,Clydesdale
679665,67966,Pepperoni
4342615,434261,Drive
4903385,490338,Tokyo
2540015,254001,0
4398405,439840,Ikea
2715655,271565,Harley davidson
705285,70528,Black
1746905,174690,Ticket
727645,72764,Uk
4431015,443101,Rockies
3144935,314493,Propeller
895495,89549,Hamburger
5361835,536183,Stew
4570785,457078,Very
4091165,409116,Sick
5306315,530631,Garage
1390945,139094,Truck driver
2733295,273329,750 ml
3448885,344888,Horse farm
1504105,150410,Battery
4073555,407355,Ottoman
4339715,433971,La brea
3784675,378467,Goth
4902795,490279,Squat
2583225,258322,Nokia
943555,94355,Field
3151915,315191,Smoke
4099645,409964,Practicing
5787105,578710,Christmas
4486005,448600,Strawberry
3459795,345979,Suit
5314335,531433,South
1879015,187901,Minarets
3649735,364973,Antioxidant
2853255,285325,Bench
2935055,293505,Walkway
2852915,285291,Ski slope
5625815,562581,Williams sisters
3658865,365886,Samsung
1551255,155125,Pizza
234115,23411,Herd
3174105,317410,Lincoln
789795,78979,Propeller
1063385,106338,Marie antoinette
376165,37616,Recliner
868355,86835,Mailboxes
4794775,479477,Underhand
2608085,260808,Beano
1137565,113756,Pads
606775,60677,20000
3611535,361153,Tomato
3321595,332159,Bad luck
4970675,497067,Team
1571705,157170,Mountain
429445,42944,Neoprene
4295985,429598,Dishwasher
4606525,460652,Stop
2117225,211722,Camera
5244595,524459,Beer
1400685,140068,Giants
3170625,317062,Delete
5577095,557709,Strike
419455,41945,Korean
5286045,528604,Bath
901555,90155,Railroad
5590625,559062,Wax
1994425,199442,Wetsuit
3814165,381416,Cross country
1675725,167572,Veggie
287195,28719,Pork
2494045,249404,Go straight
3300515,330051,Den
2987325,298732,Glass cleaner
1449325,144932,Cloudy
1144205,114420,Herbivore
5724955,572495,Desktop
4122475,412247,Right
3920485,392048,Sunday
432615,43261,Tomato
844545,84454,Christmas lights
3145045,314504,Tabby
1683755,168375,Garfield
889835,88983,Remote control
5242165,524216,Shell
112915,11291,Anniversary
4812125,481212,Fall
5218045,521804,Alp
4462075,446207,Walmart
2026525,202652,Captain
3453295,345329,Upper
1414535,141453,Plowing
5473095,547309,Trailer
4681615,468161,Goatee
4780935,478093,Star alliance
4186235,418623,Gibson
3313665,331366,Bicycle
3973095,397309,They are
846436,84643,Tusk
846435,84643,Good
5662775,566277,Red sox
3501325,350132,Shorts
4133775,413377,Smiling
3979035,397903,Taking picture
4601295,460129,Cowboy
2569735,256973,Topology
3165965,316596,Sweet
2954265,295426,Steam
4713425,471342,Rice
4968015,496801,Smoothie
540915,54091,Sad
3076585,307658,Brown
3324615,332461,Skiing
2145195,214519,Men
4704235,470423,Harley
3891295,389129,Flock
487865,48786,Interstate
5593125,559312,Tropical
2495065,249506,Desk
968325,96832,See
440655,44065,Bamboo
3196475,319647,Golden gate
449505,44950,Reflect
2450945,245094,Canopy
4989715,498971,Fishing
4919655,491965,Road
1067935,106793,Bunk bed
5690705,569070,Equus
781075,78107,Science
3732555,373255,Field
534105,53410,Hair
926045,92604,English
1311525,131152,Shark
698275,69827,Ford
2099895,209989,Switzerland
5004205,500420,Tail
2399925,239992,American airlines
3313115,331311,Candle
2382635,238263,1800
1483195,148319,40
784955,78495,Rug
2793435,279343,Fly
1973985,197398,Budweiser
5785915,578591,Jet fuel
2426445,242644,Ferris wheel
2042895,204289,Round
3586245,358624,Reflection
457105,45710,Tusks
2010045,201004,Court
2092395,209239,Mirror
2887695,288769,Beer
2926395,292639,Jet
4012495,401249,Suit
5113335,511333,Safe
5807575,580757,Water
5780925,578092,French
3986375,398637,Sister
2757445,275744,100 mph
4956815,495681,Nike
2682295,268229,Pillows
1792295,179229,Atlantic
504825,50482,10 feet
4297545,429754,Barber school
1927555,192755,Skyscraper
3168795,316879,Samuel fox
4838975,483897,Clydesdale
87715,8771,Ski
5770775,577077,Bear
5439925,543992,Communication
5375485,537548,Safety
2285515,228551,Brush teeth
5064415,506441,Pork
2521015,252101,100
1984775,198477,Red light
1515165,151516,Eagle
4101955,410195,Neoprene
3494895,349489,Biscuits
5475195,547519,Brown
4208275,420827,Firefighter
3940025,394002,Yamaha
4729305,472930,Bench
4846045,484604,Eye
4202295,420229,Apple slicer
1934805,193480,Us open
5071435,507143,100
2813175,281317,Reflection
1544975,154497,Floral
3490215,349021,Thomas
3400365,340036,Conductor
4167655,416765,May
3597155,359715,Red
4023285,402328,Biker
916675,91667,Air show
2058345,205834,Collie
1931215,193121,1000
535505,53550,Picture book
1987175,198717,Shh
1265125,126512,1930
4756585,475658,Man on right
3161835,316183,Coins
5028135,502813,Striped
5470475,547047,Afternoon
310245,31024,Time
112695,11269,Train
2114765,211476,30 grams
1418215,141821,Coca cola
5020905,502090,Sky
128815,12881,Apple pie
1746795,174679,Fishing
4073875,407387,Crane
3095145,309514,Outside
3530965,353096,Cordless
3586295,358629,Fast food
4877225,487722,Luggage
849805,84980,Border collie
4557465,455746,Bananas
3252395,325239,Potatoes
435815,43581,300
228615,22861,Thick
4090095,409009,25 mph
5778475,577847,Cow
5650415,565041,Far sighted
219945,21994,Plant
3043415,304341,Outside
5642805,564280,Leash
161615,16161,Vitamin
2182045,218204,Tulip
5246115,524611,Coal
5357485,535748,Cupcake
3563145,356314,Chinese
704605,70460,Spray paint
358265,35826,George stephenson
60055,6005,18 inches
1815865,181586,Tuxedo cat
4747625,474762,Herbivorous
4229985,422998,Relish
1229825,122982,Disorganized
4123645,412364,Alfred hitchcock
2938105,293810,Steamed
1235705,123570,Black and white
2924935,292493,Sprain
4505005,450500,Tall
5306305,530630,Croissant
1490175,149017,1000
5588405,558840,Fries
4390075,439007,Climate change
410115,41011,Polo
5429385,542938,Intermediate
527745,52774,Olive
4405395,440539,Benjamin franklin
901385,90138,Tea
4261755,426175,White
442795,44279,15 dollars
188415,18841,Flea market
2157785,215778,2000
2088255,208825,Carrot
962885,96288,Hiking
3200395,320039,Cafeteria
3793105,379310,Monitors
2020015,202001,Cell phone
3571945,357194,Watch tv
3277695,327769,12 years
1809825,180982,Steam
2495245,249524,Safe
5607565,560756,Relax
2737285,273728,Western
2070595,207059,Soup
3187545,318754,Wilson
1611445,161144,Canis lupus
4710095,471009,Fedora
4300565,430056,Club
3094025,309402,Suitcase
4550405,455040,2000
5216435,521643,Rose
3568785,356878,Day
3606615,360661,Horse race
1681755,168175,Club
1816015,181601,Worm
494455,49445,Flip phone
5746925,574692,Skin
3572295,357229,Baked
2525735,252573,Mouse
4665965,466596,Eat it
100925,10092,Canopy
1132465,113246,Sliding
79895,7989,Ski lift
5060855,506085,Big ben
1083925,108392,Donut
1187415,118741,100 feet
3586425,358642,Yes
3267985,326798,Church
4226985,422698,To drink
1535705,153570,Pacific
649095,64909,New orleans
5240115,524011,Korean air
2224075,222407,Beak
3355155,335515,Asia
2986295,298629,Halloween
3476305,347630,60 years
2881705,288170,1940
2787425,278742,Laptop
3843505,384350,Australia
1935045,193504,Shark
4675805,467580,Pacific
4066815,406681,German shepherd
941405,94140,German shepherd
5194605,519460,Salad
2380625,238062,Cheese
1046855,104685,Thoroughbred
1818735,181873,Down
623985,62398,6 months
1035385,103538,Cook
407295,40729,Chocolate
3181575,318157,1800s
316995,31699,Wood
3954525,395452,Fork
2673145,267314,Pajamas
3265825,326582,25 mph
2088445,208844,1902
342125,34212,Messy
937915,93791,Gothic
2776255,277625,Medieval
4833305,483330,Garden
4101145,410114,1200 lbs
527125,52712,Carry on
142575,14257,Backpacker
3186185,318618,Van gogh
5454415,545441,Asian
697955,69795,Oak
1427445,142744,Tabby
1679895,167989,Mozzarella
4533415,453341,Dolls
5723315,572331,Wallpaper
272855,27285,Cook
2534895,253489,Roses
1859435,185943,Carbon dioxide
4541025,454102,Lift
1458735,145873,License
4813275,481327,Vase
3530285,353028,Tums
3926705,392670,Lufthansa
1455975,145597,Picnic
3868195,386819,Clock
5798225,579822,Wetsuit
4577185,457718,Mountains
1773385,177338,10 mph
1784355,178435,Nursing
4477365,447736,Sprinkles
4117275,411727,2008
5275105,527510,U.s. air force
1204735,120473,Big ben
5442375,544237,Ice cream
1609275,160927,Cruise ship
4437975,443797,Twin
5309135,530913,Mutt
801305,80130,New york
5018585,501858,Bake
4745025,474502,Arctic
513265,51326,Halloween
2233745,223374,Not valuable
4081125,408112,Wright brother
5025995,502599,Hangar
4750645,475064,Hong kong
2188535,218853,Less
4179465,417946,Stripes
1429195,142919,Spinach
5366545,536654,Roses
3117895,311789,Egypt
1626775,162677,Prison
3722305,372230,Serena williams
3318175,331817,Orange juice
3479365,347936,Birthday
4867745,486774,Kelly slater
218645,21864,Cirrus
5504525,550452,Transportation
1866245,186624,Transportation
5469875,546987,Motorola
1838035,183803,Coffee table
4414155,441415,Books
3412305,341230,Tree
3369375,336937,Kohler
2317585,231758,Barn
3218055,321805,Architect
1817455,181745,Polynesia
5358215,535821,Run
4233955,423395,Skin
1799605,179960,Volleyball
3053685,305368,Gothic
2454535,245453,Benjamin franklin
5163725,516372,Fire hydrant
2956935,295693,Black cat
2178465,217846,Fall
3380575,338057,Colander
3766795,376679,Playing wii
703345,70334,Feta
1205195,120519,Wash
361965,36196,Pilot
3345665,334566,Work
925585,92558,Cloudy
136595,13659,Kia
4124555,412455,20th
394305,39430,120
3477685,347768,San francisco
2569035,256903,Shaun white
3700435,370043,Eat
917155,91715,Roy cawood
2083635,208363,18-30
1348825,134882,Comforter
1805155,180515,New york
1200075,120007,Holstein
5184405,518440,Watermelon
2194585,219458,Plastic
5312445,531244,Pregnant
437205,43720,Cell phone
128875,12887,Piano
2277365,227736,Winter
5710085,571008,MC hammer
4371455,437145,1800
5002115,500211,Shade
5032785,503278,Dancing
782005,78200,Marshall
96285,9628,Water skiing
974235,97423,Score
2247425,224742,Mirror
2703545,270354,Triangular
2144545,214454,Drain
1571385,157138,Snack
4477795,447779,Skate park
3548325,354832,Levis
2954125,295412,Canoe
1763285,176328,Books
3497765,349776,Fight
1392485,139248,Playing
2496585,249658,Color
4260615,426061,Smoke
747985,74798,Stork
96995,9699,Fly
2782225,278222,Washington
5656705,565670,Polka dot
4265425,426542,Batter
1395,139,Samsung
247215,24721,Apple
776815,77681,Olives
399615,39961,Nun
3610525,361052,Friend
5571305,557130,Playing
4060505,406050,New york
4900225,490022,Oakley
3436065,343606,Turkey
3221435,322143,Cumulus
1999595,199959,Passenger
4296795,429679,Silver
1635895,163589,French
5575645,557564,Lawyer
52255,5225,Drum
4510955,451095,None
5695655,569565,Gas
4616345,461634,Healthy
543405,54340,Kitten
1807515,180751,Wine
5326105,532610,Coca cola
4399075,439907,Granite
1440035,144003,Blueberries
716825,71682,Lemon
758865,75886,Antarctica
5153915,515391,Windsor
5388445,538844,Olive
5493995,549399,Peter fonda
1960745,196074,Spoon
4937725,493772,Pass
4511445,451144,Skis
3963695,396369,Blinds
4341485,434148,Cherries
2242205,224220,Boating
644095,64409,Pencils
3606115,360611,Wair
5176195,517619,Ski
683525,68352,Moving
3318835,331883,Futon
2122855,212285,Nowhere
3075115,307511,1950
2483145,248314,Calculator
1310185,131018,Peas
4004565,400456,35 mph
2321605,232160,Baseball
4504795,450479,Liner
2118535,211853,Gas
3680495,368049,Pine
2134555,213455,Skate park
2139325,213932,Newspaper
404465,40446,Church
4109245,410924,Cutting
5159935,515993,Blueberry
3678605,367860,Giraffe
1407975,140797,Chicken
2255585,225558,Caravan
2242895,224289,Apple
4097255,409725,Kite flying
3791085,379108,Recreational
900625,90062,Bart simpson
2274285,227428,Sleeping
403175,40317,Skis
5363755,536375,Produce
5363756,536375,Fruit
1725135,172513,Captain
1071405,107140,Butter
3608785,360878,Ping pong
3338085,333808,Pigeon
2431995,243199,Plaid
5010235,501023,Desert
4275215,427521,Vegetable
662975,66297,English
1932455,193245,Benjamin franklin
622985,62298,Overfed
4037925,403792,Ski lift
4259735,425973,Love
684575,68457,Airport
1352565,135256,Snap peas
4676755,467675,Brushing
2831625,283162,Sandwich
272215,27221,Bad
2319425,231942,South african
3237295,323729,Ikea
4591035,459103,Gothic
827945,82794,Bratwurst
3619475,361947,1930s
888175,88817,Kiteboarding
3370425,337042,Brick
5265555,526555,21
5636965,563696,Ebay
3272635,327263,Daisy
3413975,341397,Square
3084415,308441,Serve
436785,43678,Take off
3017625,301762,Hummus
3024055,302405,Snowboard
688145,68814,Work
4124195,412419,Bat
1684165,168416,Cardinal
3217985,321798,500
3907955,390795,Daytime
3932885,393288,Brick
4572305,457230,Parade
3498605,349860,Skateboard
5738235,573823,Click
2570605,257060,Not very
251655,25165,1950
5302205,530220,Wear helmet
2189475,218947,Alp
2627035,262703,Fell
2831635,283163,Asphalt
3728615,372861,Queen
2006995,200699,Holstein
4496345,449634,New york
5282325,528232,Giraffa
1200615,120061,Whirlpool
3723165,372316,9:00
614185,61418,Large
570725,57072,Bread knife
3852485,385248,Hooters
3627125,362712,Hoodie
4482785,448278,Geese
4114055,411405,2000
269675,26967,Luggage
2357885,235788,Volkswagen
526615,52661,Sailboat
1965655,196565,Longboard
2349635,234963,Electricity
3962175,396217,Leash
508285,50828,Pillow
3892585,389258,Mother
3772355,377235,Afternoon
4801815,480181,0
1361405,136140,Motorola
1786915,178691,City
1182375,118237,Old and new
2474075,247407,Toddler
3936825,393682,Cheesecake
2822875,282287,12
209925,20992,Hot dog
1212425,121242,Fire engine
2503015,250301,Shark
2189885,218988,None
4879905,487990,Guitar
1483955,148395,Old
3235645,323564,Wheel
5041525,504152,Tools
1315815,131581,Helmet
4108805,410880,Brown
1929325,192932,Mountain
2309325,230932,Left
2937055,293705,Stage 4 home
3224805,322480,Informal
4407095,440709,Grocery
898845,89884,Swimming pool
4038175,403817,Smell
1811795,181179,Protein
5715855,571585,Keep food cold
1147175,114717,Gund
624745,62474,Cloudy
1274945,127494,Spinach
4800755,480075,Flip
4597215,459721,Cutting cake
330735,33073,Horse
3496425,349642,Golden retriever
1892035,189203,Bird
952955,95295,Couch
4741195,474119,Landline
3359765,335976,Meal
825765,82576,Fishing
5011165,501116,Green
672075,67207,Wii
4651295,465129,Robe
2239055,223905,Platform
3894805,389480,Log
4030655,403065,Jeep
1261105,126110,12 hours
